date,type,product_name,operation,raw_start,isin
19-dic-2025,Contrattazione,Alphabet Inc. Class A,Acquista,"Contrattazione Alphabet Inc. Class A Acquista 2 @ 301,93 Pending -",
18-dic-2025,Contrattazione,ServiceNow Inc.,Acquista,"Contrattazione ServiceNow Inc. Acquista 1 @ 155,29 USD -133,51 -",US81762P1021
18-dic-2025,Contrattazione,CRISPR Therapeutics Ltd,Acquista,"Contrattazione CRISPR Therapeutics Ltd Acquista 3 @ 55,88 USD -144,22 -",CH0334081137
26-nov-2024,Operazione sul capitale,Qualcomm Inc.,Dividendo,"Operazione sul capitale Qualcomm Inc. Dividendo in contanti 0,96 -",US7475251036
26-nov-2024,Contrattazione,Canopy Growth Corp.,Vendi,"Contrattazione Canopy Growth Corp. Vendi-145 @ 2,90 CAD 256,83 -",CA1380357048
26-nov-2024,Contrattazione,TeradyneInc.,Acquista,"Contrattazione TeradyneInc. Acquista 1 @ 190,26 USD -163,53 -",US8807701029
26-nov-2024,Contrattazione,Viking Therapeutics Inc.,Acquista,"Contrattazione Viking Therapeutics Inc. Acquista 5 @ 34,74 USD -149,42 -",US92686J1060
26-nov-2024,Contrattazione,AST SpaceMobile Inc.,Acquista,"Contrattazione AST SpaceMobile Inc. Acquista 2 @ 65,86 USD -113,52 -",IE000M7V94E1
26-nov-2024,Contrattazione,Joby Aviation Incorporation,Acquista,"Contrattazione Joby Aviation Incorporation Acquista 20 @ 8,97 USD -172,34 -",KYG651631007
26-nov-2024,Contrattazione,**See WMT:xnas(WalmartInc.),Acquista,"Contrattazione **See WMT:xnas(WalmartInc.) Acquista 3 @ 92,82 USD -266,99 -",US9311421039
28-nov-2024,Contrattazione,Webuild,Acquista,"Contrattazione Webuild Acquista 100 @ 2,65 EUR -267,06 -",IT0003865570
26-nov-2024,Deposito,Cash Deposit,Deposito,"Trasferimentodi liquidità Deposito 1.000,00 -",
